Incident Address Display,Borough,Community Board,Police Precinct,Status,Resolution Action
118-02 ROCKAWAY BOULEVARD,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
118-30 MONTAUK STREET,QUEENS,12 QUEENS,Precinct 113,Open,Site downloaded for cleaning
118-52 MONTAUK STREET,QUEENS,12 QUEENS,Precinct 113,Open,Site downloaded for cleaning
118-80 MONTAUK STREET,QUEENS,12 QUEENS,Precinct 113,Open,Site downloaded for cleaning
1180 67 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,Closed,Cleaning crew dispatched.  Property cleaned.
1180 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1180 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Open,Site downloaded for cleaning
1182 EAST 49 STREET,BROOKLYN,18 BROOKLYN,Precinct 63,Open,Site downloaded for cleaning
1182 ELDER AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1182 FLUSHING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
1183 MORRISON AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1184 STRATFORD AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1185 EAST 15 STREET,BROOKLYN,14 BROOKLYN,Precinct 70,Open,Site downloaded for cleaning
1185 MORRISON AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1187 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched. No graffiti on property.
1187 STERLING PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,Open,Site downloaded for cleaning
1188 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
1188 GRAND CONCOURSE,BRONX,04 BRONX,Precinct 44,Closed,Cleaning crew dispatched.  Property cleaned.
1188 STERLING PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
118A HOPE STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Unspecified
119 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
119 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
119 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
119 D AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,Open,Site downloaded for cleaning
119 JEROME STREET,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
119 JEROME STREET,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
119 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
119 NORTH 1 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
119 NORTH 11 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
119 WEST 106 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,Open,Unspecified
119 WEST 25 STREET,MANHATTAN,04 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
119-01 14 ROAD,QUEENS,07 QUEENS,Precinct 109,Open,Site downloaded for cleaning
119-06 97 AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
119-20 ROCKAWAY BOULEVARD,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
119-25 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,Open,Site downloaded for cleaning
119-54 METROPOLITAN AVENUE,QUEENS,09 QUEENS,Precinct 102,Open,Site downloaded for cleaning
119-60 METROPOLITAN AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
119-70 MERRICK BOULEVARD,QUEENS,12 QUEENS,Precinct 113,Open,Site downloaded for cleaning
1190 BERGEN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,Closed,Cleaning crew dispatched.  Property cleaned.
1190 EAST 180 STREET,BRONX,06 BRONX,Precinct 48,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1191 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
1191 CASTLEHILL AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1191A LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
1191A LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Open,Site to be cleaned.
1192 DEAN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,Closed,Cleaning crew dispatched.  Property cleaned.
1192 PROSPECT AVENUE,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1193 ROGERS AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,Closed,Cleaning crew dispatched.  Property cleaned.
1194 CROMWELL AVENUE,BRONX,04 BRONX,Precinct 44,Open,Site downloaded for cleaning
1195 ATLANTIC AVENUE,BROOKLYN,03 BROOKLYN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
1195 FULTON AVENUE,BRONX,03 BRONX,Precinct 42,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1196 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,Open,Site downloaded for cleaning
1196 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
1198 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
119A HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
119A HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
119B HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
119C HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
119D HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
119D HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
12 DELANCY STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
12 GRANT STREET,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,Closed,Cleaning crew dispatched.  Owner refused.
12 GREENE STREET,MANHATTAN,02 MANHATTAN,Precinct 1,Closed,Cleaning crew dispatched.  Property cleaned.
12 SPRING STREET,MANHATTAN,02 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
12 WALWORTH STREET,BROOKLYN,03 BROOKLYN,Precinct 79,Open,Unspecified
12 WEST 183 STREET,BRONX,05 BRONX,Precinct 46,Open,Site downloaded for cleaning
12 WEST 85 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,Closed,Cleaning crew dispatched.  Property cleaned.
12-01 BROADWAY,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
12-04 31 AVENUE,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
12-10 30 AVENUE,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
12-10 ASTORIA PARK SOUTH,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
12-10 ASTORIA PARK SOUTH,QUEENS,01 QUEENS,Precinct 114,Open,Site downloaded for cleaning
12-11 31 AVENUE,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
12-33 31 AVENUE,QUEENS,01 QUEENS,Precinct 114,Closed,Cleaning crew dispatched.  Property cleaned.
12-37 150 STREET,QUEENS,07 QUEENS,Precinct 109,Closed,Cleaning crew dispatched.  Property cleaned.
12-42 150 STREET,QUEENS,07 QUEENS,Precinct 109,Open,Site downloaded for cleaning
12-49 150 STREET,QUEENS,07 QUEENS,Precinct 109,Closed,Cleaning crew dispatched.  Property cleaned.
12-52 CLINTONVILLE STREET,QUEENS,07 QUEENS,Precinct 109,Closed,Cleaning crew dispatched.  Property cleaned.
120 ALCOTT PLACE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
120 ALDRICH STREET,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
120 AMBOY STREET,BROOKLYN,16 BROOKLYN,Precinct 73,Closed,Cleaning crew dispatched.  Property cleaned.
120 BELLAMY LOOP,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
120 BENCHLEY PLACE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
120 COOP CITY BOULEVARD,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
120 DARROW PLACE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
120 DONIZETTI PLACE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
120 EAST 87 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched. No graffiti on property.
120 EINSTEIN LOOP,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
120 ELGAR PLACE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
120 ELIZABETH STREET,MANHATTAN,02 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
120 ERDMAN PLACE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
120 ERSKINE PLACE,BRONX,10 BRONX,Precinct 45,Closed,Cleaning crew dispatched.  Property cleaned.
120 EVERGREEN AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Unspecified
120 FORSYTHE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
120 NORTH 6 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
120 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
120 VERMILYEA AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
120 WALKER STREET,MANHATTAN,01 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
120 WEST 25 STREET,MANHATTAN,04 MANHATTAN,Precinct 13,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
120 WEST 28 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
120 WEST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
120-01 ROCKAWAY BOULEVARD,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
120-01 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
120-08 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
120-12 85 AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
120-19 89 AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
120-20 MERRICK BOULEVARD,QUEENS,12 QUEENS,Precinct 113,Closed,Cleaning crew dispatched.  Property cleaned.
120-21 101 AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
1200 EAST 98 STREET,BROOKLYN,18 BROOKLYN,Precinct 69,Closed,Cleaning crew dispatched.  Property cleaned.
1200 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1200 MORRIS PARK AVENUE,BRONX,11 BRONX,Precinct 49,Closed,Cleaning crew dispatched.  Property cleaned.
1200 WHITE PLAINS ROAD,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1200 WHITEPLAINS ROAD,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1201 86 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,Closed,Cleaning crew dispatched.  Property cleaned.
1201 BROOK AVENUE,BRONX,03 BRONX,Precinct 42,Open,Site downloaded for cleaning
1201 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1201 LELAND AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1201 QUENTIN ROAD,BROOKLYN,15 BROOKLYN,Precinct 61,Closed,Cleaning crew dispatched.  Property cleaned.
1201 QUENTIN ROAD,BROOKLYN,15 BROOKLYN,Precinct 61,Open,Site downloaded for cleaning
1201 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1201 VYSE AVENUE,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
1201 VYSE AVENUE,BRONX,03 BRONX,Precinct 42,Open,Site downloaded for cleaning
1202 AVENUE R,BROOKLYN,15 BROOKLYN,Precinct 61,Closed,Cleaning crew dispatched.  Property cleaned.
1202 BROOK AVENUE,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
1202 CORTELYOU ROAD,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1202 CORTELYOU ROAD,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1202 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1202 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
1203 LELAND AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1203 STRATFORD AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1203 WHITE PLAINS ROAD,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1204 MORRISON AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1205 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
1205 44 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
1205 86 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,Closed,Cleaning crew dispatched.  Property cleaned.
1205 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Open,Site downloaded for cleaning
1205 COMMONWEALTH AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1205 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
1205 STRATFORD AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1205 WHITE PLAINS ROAD,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1206 WHITE PLAINS ROAD,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1207 BEACH AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1207 BOYNTON AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1207 BOYNTON AVENUE,BRONX,09 BRONX,Precinct 43,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1208 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
1209 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
1209 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
121 31 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,Closed,Cleaning crew dispatched.  Property cleaned.
121 AVENUE S,BROOKLYN,11 BROOKLYN,Precinct 62,Open,Site downloaded for cleaning
121 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
121 EAST 86 STREET,BROOKLYN,17 BROOKLYN,Precinct 67,Closed,Cleaning crew dispatched.  Property cleaned.
121 EAST 88 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched. No graffiti on property.
121 FT GEORGE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
121 FT GEORGE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
121 FT GEORGE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,Open,Site downloaded for cleaning
121 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
121 HENRY STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
121 NORTH 12 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
121 PORT RICHMOND AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,Open,Site downloaded for cleaning
121 ST NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched. No graffiti on property.
121 ST NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
121 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched.  Property cleaned.
121 WEST 126 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Open,Unspecified
121 WEST 29 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,Closed,Cleaning crew dispatched.  Property cleaned.
121-01 14 ROAD,QUEENS,07 QUEENS,Precinct 109,Closed,Cleaning crew dispatched.  Property cleaned.
121-01 18 AVENUE,QUEENS,07 QUEENS,Precinct 109,Closed,Cleaning crew dispatched.  Property cleaned.
121-06 22 AVENUE,QUEENS,07 QUEENS,Precinct 109,Open,Site downloaded for cleaning
121-06 89 AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
1211 BROOK AVENUE,BRONX,03 BRONX,Precinct 42,Open,Site downloaded for cleaning
1211 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Open,Site downloaded for cleaning
1211 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
1211 PUGSLEY AVENUE,BRONX,09 BRONX,Precinct 43,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1211 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
1211A PUGSLEY AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1211B PUGSLEY AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1211B PUGSLEY AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1212 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
1213 PUGSLEY AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1214 70 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,Closed,Cleaning crew dispatched.  Property cleaned.
1214 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1214 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,Open,Site downloaded for cleaning
1215 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1215 GRAND CONCOURSE,BRONX,04 BRONX,Precinct 44,Pending,Cleaning crew dispatched.  Property cleaned.
1215 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
1215 MORRISON AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1215 MORRISON AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1215 WHITE PLAINS ROAD,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1216 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1216 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
1216 WESTCHESTER AVENUE,BRONX,02 BRONX,Precinct 41,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1217 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Open,Unspecified
1217 WHITE PLAINS ROAD,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1218 BROOK AVENUE,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
1218 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,Pending,Cleaning crew dispatched.  Property cleaned.
1218 MYRTLE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
1218 NELSON AVENUE,BRONX,04 BRONX,Precinct 44,Open,Site downloaded for cleaning
1219 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
122 BAYRIDGE AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,Closed,Cleaning crew dispatched.  Property cleaned.
122 EAST 116 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Cleaning crew dispatched.  Property cleaned.
122 EAST 17 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched. No graffiti on property.
122 EAST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,Closed,Cleaning crew dispatched.  Property cleaned.
122 FORSYTH STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
122 FORSYTH STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
122 FORSYTH STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
122 FORSYTHE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
122 FRANKLIN AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
122 HAMILTON PLACE,MANHATTAN,09 MANHATTAN,Precinct 30,Open,Site downloaded for cleaning
122 JEFFERSON STREET,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
122 KINGSLAND AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
122 KINGSTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,Closed,Cleaning crew dispatched.  Property cleaned.
122 LEONARD STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Closed,Cleaning crew dispatched.  Property cleaned.
122 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
122 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
122 RIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
122 SUFFOLK STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
122 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Open,Site downloaded for cleaning
122 WEST 137 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched. No graffiti on property.
122 WEST 27 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
